Ruta,OperadOR,route,ac_type,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,year,decade
Italy,Military - U.S. Air Force,Sin_Dato,Douglas,20,15,5,20,15,5,0,1947,4
EEUU,United Air Lines,Los Angeles - New York City,Douglas,53,48,5,53,48,5,0,1947,4
Others,JAT Yugoslav Airlines,Zagreb - Titograd,Lisunov LI-2,22,19,3,22,19,3,0,1947,4
Others,Others,Bucurest - Prague,Lisunov Li-2,26,21,5,13,8,5,0,1947,4
Italy,Others,Catania - Rome,Others,25,21,4,20,16,4,0,1947,4
Others,Trans Continental and Western Air,Training,Lockheed,5,0,5,5,0,5,0,1947,4
France,Others,Sin_Dato,Junkers,2,0,2,2,0,2,0,1947,4
Mexico,American Airlines,San Francisco - Chicago - New York,Douglas,25,21,4,0,Sin_Dato,Sin_Dato,0,1947,4
Philippines,Others,Sin_Dato,Douglas,5,3,2,5,3,2,0,1947,4
India,Military - Royal Indian Air Force,Sin_Dato,Douglas,25,22,3,25,22,3,0,1947,4
EEUU,Pan American World Airways,Seattle - Juneau,Douglas,18,13,5,18,13,5,0,1947,4
EEUU,Others,Fairbanks - Yakutat,Douglas,13,11,2,13,11,2,0,1947,4
Others,Pan American World Airways,Karachi - Istanbul,Lockheed,36,27,9,14,7,7,0,1947,4
Others,Military - Royal Air Force,Negombo - Northolt,Others,15,9,6,11,7,4,0,1947,4
Brazil,Flota Aérea Mercante Argentina,Buenos Aires - Natal - London,Others,18,13,5,5,3,2,0,1947,4
EEUU,Slick Airways,"Omaha, NE - Denver, CO",Curtiss,2,0,2,2,0,2,0,1947,4
Others,Others,Havana - Lisbon - Madrid,Douglas,11,8,3,11,8,2,0,1947,4
Others,Others,"New York, NY - Raleigh, NC",Douglas,3,0,3,1,0,1,0,1947,4
Others,Air France,Paris - Bordeaux - Lisbon,Douglas,20,15,5,19,14,5,0,1947,4
China,China National Aviation Corporation,Shanghai - Hankow - Chungking,Curtiss,26,24,2,25,23,2,0,1947,4
Others,KLM Royal Dutch Airlines,Kobenhavn - Stockholm,Douglas,22,18,4,22,18,4,0,1947,4
Others,Philippine Air Lines,Sin_Dato,Douglas,4,0,4,4,0,4,0,1947,4
China,China National Aviation Corporation,Canton - Chungking - Hong Kong,Douglas,19,16,3,19,16,3,0,1947,4
England,Others,Croydon - Rome - Salisbury,Douglas,23,18,5,12,11,1,0,1947,4
Colombia,AVIANCA,Bogota - Barrancabermeja,Douglas,17,13,4,17,13,4,0,1947,4
Mexico,Military - Mexican Air Force,Puebla - Oaxaca,Lockheed,21,17,4,21,17,4,0,1947,4
EEUU,Eastern Air Lines,"Akron, OH - Winston/Salem, NC",Douglas,19,16,3,18,15,3,0,1947,4
China,Far Eastern Air Transport,Shanghai - Manila,Douglas,42,37,5,7,7,0,0,1947,4
England,British Overseas Airways,London - Bordeaux  - Lagos,Douglas,16,11,5,8,4,4,0,1947,4
EEUU,Others,Miami - Raleigh - Washington,Douglas,23,20,3,3,2,1,0,1947,4
China,China National Aviation Corporation,Shanghai - Tsingtao - Beijing,Curtiss,43,38,5,43,38,5,0,1947,4
Brazil,Panair do Brasil,Sin_Dato,Others,14,11,3,11,8,3,0,1947,4
Colombia,AVIANCA,Barranquilla - Bogota,Douglas,53,49,4,53,49,4,0,1947,4
Italy,Others,Rome - Cairo,Others,16,10,6,16,10,6,0,1947,4
EEUU,Pennsylvania Central Airlines,Pittsburgh - Washington D.C.,Douglas,50,47,3,50,47,3,0,1947,4
China,Military - Royal Air Force,Singapore - Siagon,Douglas,12,9,3,12,9,3,0,1947,4
France,Air France,Marseille - Lyon,Junkers,2,0,2,2,0,2,0,1947,4
EEUU,Eastern Air Lines,Newark - Baltimore - Miami,Douglas,53,49,4,53,49,4,0,1947,4
Others,Others,Reykjavík - Akureyri,Douglas,25,21,4,25,21,4,0,1947,4
Others,Military - U.S. Army Air Forces,Seoul - Tachikawa,Douglas,40,33,7,40,33,7,0,1947,4
EEUU,United Air Lines,New York City - Cleveland,Douglas,48,44,4,43,41,2,0,1947,4
China,Military - Chinese Air Force,Sichang - Chungking,Douglas,21,17,4,21,17,Sin_Dato,0,1947,4
EEUU,Trans Continental and Western Air,Training,Lockheed,4,0,4,4,0,4,0,1947,4
Others,TACA,Nicoya - San Jose,Lockheed,11,9,2,11,9,2,0,1947,4
Russia,Aeroflot,Nikolayevsk-on-Amur - Khabarovsk,Douglas,22,17,5,22,17,5,0,1947,4
Others,Delta Air Lines,Macon - Columbus,Douglas,10,8,2,10,8,2,0,1947,4
Others,British South American Airways,Lisbon - Dakar,Avro 685 York I,15,9,6,6,6,0,0,1947,4
Others,Linea Aeropostal Venezolana,Cumana - Caracas,Douglas,27,24,3,27,24,3,0,1947,4
Colombia,TACA,"Medellin, Colombia - San Jose, Costa Rica",Lockheed,8,5,3,8,5,3,0,1947,4
France,Air France,Lyons - Nice - Paris,Douglas,23,18,5,23,18,5,0,1947,4
Colombia,Others,Villavicencio - Bogota,Douglas,9,5,4,9,5,4,0,1947,4
Italy,Military - Royal Air Force,Hassani - Rome - Northolt,Douglas,13,10,3,13,10,3,0,1947,4
Russia,Aeroflot,Tbilisi - Moscow - Vnoukovo,Others,23,19,4,23,19,4,0,1947,4
Canada,Trans Canada Air Lines,Lethbridge - Vancouver,Lockheed,15,12,3,15,12,3,0,1947,4
Others,Aeroflot,Alma Ata - Balkhash - Karaganda - Moscow,Lisunov LI-2,15,11,4,15,11,4,0,1948,5
Others,Australian National Airways,Brisbane - Sidney,Douglas,13,10,3,13,10,3,0,1948,5
Others,Sabena,Manono - Elizabethville,Douglas,13,10,3,13,10,3,0,1948,5
Others,Northwest Orient Airlines,Chicago - Minneapolis,Martin 202,37,33,4,37,33,4,0,1948,5
Others,Avensa,Maiquetía - Las Piedras - Maracaibo,Douglas,3,0,3,3,0,3,0,1948,5
Others,New Zealand National Airways,Blenheim - Paraparaumu,Douglas,2,0,2,2,0,2,0,1948,5
Others,Air France,Fort-de-France - Port-Etienne - Paris,Latecoere 631 (flying boat),52,40,12,52,40,12,0,1948,5
Others,Avio Linee Italiane,Milano - Brussels,Others,12,7,5,8,4,4,0,1948,5
China,Civil Air Transport,Qingdao - Jinan,Curtiss,19,16,3,19,16,3,0,1948,5
Others,Others,Rosario - Bueno Aires,Others,24,18,6,18,16,2,0,1948,5
Canada,Others,Port Meunier - Gaspé,Douglas,29,27,2,29,27,2,0,1948,5
Others,Cathay Pacific Airways,Macau - Hong Kong,Others,26,23,3,25,22,3,0,1948,5
Brazil,Aerovias Brasil,Sin_Dato,Douglas,5,2,3,5,2,3,0,1948,5
China,Aigle Azur,Saigon - Da Lat,Douglas,16,13,3,16,13,3,0,1948,5
England,Scandinavian Airlines (SAS),Stockholm - Amsterdam - Northolt,Douglas,39,26,13,39,26,13,0,1948,5
Others,Norwegian Airlines,Fornebu - Hommelvik,Others,45,38,7,19,16,3,0,1948,5
Others,Others,Chaklala – Mauripur,Others,4,0,4,4,0,4,0,1948,5
Russia,Aeroflot,Tashkent - Baku - Tbilisi - Sochi,Ilyushin,10,4,6,10,4,6,0,1948,5
Others,Others,Karachi - Lohore,Douglas,21,16,5,21,16,5,0,1948,5
Others,New Zealand National Airways,Palmerston - Hamilton,Lockheed,13,10,3,13,10,3,0,1948,5
Others,Linea Aeropostal Venezolana,Sin_Dato,Douglas,17,14,3,1,0,1,0,1948,5
Italy,Pan African Air Charter,Athens - Rome - Nice,Douglas,13,8,5,13,8,5,0,1948,5
Others,Others,San Juan - Miami,Douglas,32,29,3,32,29,3,0,1948,5
Others,Iberia Airlines,Madrid - Barcelona,Douglas,27,24,3,27,24,3,0,1948,5
Others,China National Aviation Corporation,Shanghai - Hong Konk,Douglas,33,29,4,33,29,4,0,1948,5
Others,Ceskoslovenske Aerolinie,Rome - Athens,Douglas,24,19,5,24,19,5,0,1948,5
Colombia,LANSA,Bogota - Barranquilla,Douglas,30,27,3,30,27,3,0,1948,5
Others,China National Aviation Corporation,Shanghai - Taipei,Douglas,10,8,2,2,0,2,0,1948,5
Italy,Others,Milan - Brussels,Douglas,7,6,1,7,6,1,0,1948,5
China,Central Air Transport,Chengdu - Shanghai,Curtiss,40,37,3,9,7,2,0,1948,5
Russia,Aeroflot,Zyryanka - Srednekymsk,Lisunov Li-2,26,21,5,23,18,5,Sin_Dato,1948,5
England,Others,"Isle of Man - Dublin, Ireland",Havilland,8,6,2,7,5,2,0,1948,5
Others,Australian National Airways,Melbourne - Denilquin,Douglas,23,19,4,3,0,3,0,1948,5
EEUU,Others,Anchorage - Homer - Yakutat - Annette Island - Seattle,Douglas,17,15,2,17,15,2,0,1948,5
England,Military - U.S. Air Force,RAF Scrampton - Burtonwood AFB,Boeing,13,0,13,13,0,13,0,1948,5
Canada,Northwest Orient Airlines,Minneapolis - Edmonton - Anchorage - Tokyo,Douglas,5,0,5,2,0,2,0,1948,5
Russia,Others,Krasnodar - Karachayevsk - Sukhumi - Tbilisi,Lisunov Li-2,18,14,4,18,14,4,0,1948,5
Others,KLM Royal Dutch Airlines,Amsterdam - Prestwick - New York City,Lockheed,40,30,10,40,30,10,0,1948,5
China,Others,Macau - Hong Kong,Others,26,23,3,25,22,3,0,1948,5
Russia,Aeroflot,Petropavlovsk-Kamchatsky - Magadan,Douglas,9,5,4,8,4,4,0,1948,5
Others,Others,"Birmingham, England - Isle of Man",Havilland,8,7,1,6,5,1,0,1948,5
EEUU,Others,"Pittsburgh, PA - Columbus, OH",Douglas,2,0,2,2,0,2,0,1948,5
Philippines,Others,Sin_Dato,Douglas,12,9,3,12,9,3,0,1948,5
France,Latecoere Airlines,Sin_Dato,Latecoere 631 (flying boat),14,7,7,14,7,7,0,1948,5
Italy,Others,Florence - Pisa - Rome,Douglas,10,7,3,7,4,3,0,1948,5
Germany,Others,Giessen - Bad Homberg,Douglas,21,17,4,12,8,4,0,1948,5
Indonesia,KLM Royal Dutch Airlines,Bandung - Jakarta - Banjoemans - Semarang,Douglas,19,15,4,19,15,4,0,1948,5
EEUU,Eastern Air Lines,Boston- NY-West Palm Beach- Miami,Lockheed,69,63,6,1,0,1,0,1948,5
Brazil,Military - Brazilian Air Force,Rio de Janeiro - Bele - Cayenne,Douglas,26,20,6,23,17,6,0,1948,5
Others,British South American Airways,London - Havana,Others,31,25,6,31,25,6,0,1948,5
China,China National Aviation Corporation,Sin_Dato,Curtiss,54,51,3,11,11,0,0,1948,5
EEUU,Eastern Air Lines,Atlanta - Washington D.C.,Douglas,9,6,3,5,3,2,0,1948,5
Others,Others,Santa Cruz de Barahona - Santiago de los Caballeros,Douglas,32,29,3,32,29,3,0,1948,5
Others,Others,Algiers - Biskra,Douglas,9,7,2,9,7,2,0,1948,5
EEUU,United Air Lines,Chicago - New York City,Douglas,43,39,4,43,39,4,0,1948,5
England,British European Airways,Renfrew - Northolt,Vickers,18,14,4,1,0,1,0,1948,5
France,Air France,Brussels - Paris,Douglas,16,11,5,16,11,5,0,1948,5
EEUU,Others,Burbank - Oakland,Douglas,32,29,3,32,29,3,0,1948,5
France,Others,Oran - Perpignan - Lyon,Junkers,4,0,4,4,0,4,0,1948,5
Others,Others,Charlston - Savannah,Douglas,27,25,2,18,17,1,0,1948,5
Others,Loftleidir Icelandic Airlines,Vestmannaeyjar - Reykjavik,Avro Anson,4,2,2,4,2,2,0,1948,5
Others,Others,Albacete - Albacete,Others,4,0,4,4,0,4,1,1948,5
England,Air Transport Charter,Valence - Bovingdon,Douglas,4,0,4,3,0,3,0,1948,5
EEUU,Slick Airways,"Newark, NJ - Chicago, IL",Curtiss,2,0,2,2,0,2,0,1948,5
Others,Others,Durban - Johannesburg - London,Douglas,13,8,5,13,8,5,0,1948,5
Others,Sabena,Leopoldville - Libenga,Douglas,32,25,7,31,24,7,0,1948,5
England,Sabena,Brussels - London,Douglas,22,19,3,20,17,3,0,1948,5
Russia,Aeroflot,Kirensk - Badaybo,Others,29,25,4,28,24,4,0,1948,5
Others,Others,Lae - Bulolo,Lockheed,37,33,4,37,33,4,0,1948,5
France,Skyways of London,Croydon - Paris - Cannes,Havilland,4,2,2,4,2,2,0,1948,5
Others,Air France,Lagos - Kano - Algiers - Paris,Douglas,6,0,6,1,0,1,0,1948,5
Germany,Others,London - Berlin,Vickers,14,10,4,14,10,4,0,1948,5
France,Indian National Airlines,Delhi - Rome - London,Vickers,19,15,4,19,15,4,0,1948,5
Colombia,Agencia Interamericana de Aviada,El Secreto - Bogota,Douglas,14,10,4,14,10,4,0,1948,5
Brazil,Cruzeiro,Sin_Dato,Douglas,6,3,3,6,3,3,0,1948,5
EEUU,Northwest Orient Airlines,Anchorage - New York City,Douglas,30,24,6,30,24,6,0,1948,5
EEUU,Delta Air Lines,Chicago - Miami,Douglas,13,9,4,12,8,4,0,1948,5
Others,Pan American World Airways,Belgium - Shannon,Lockheed,31,21,10,30,20,10,0,1948,5
Mexico,Mexicana,Tapacula - Mexico City,Douglas,24,21,3,24,21,3,0,1949,5
Canada,Canadian Pacific Air Lines,Montreal - Comeau Bay,Douglas,23,19,4,23,19,4,0,1949,5
Others,Sabena,Leopoldville - Elizabethville,Douglas,20,17,3,5,3,2,0,1949,5
Others,Military - Royal Canadian Air Force,Churchhill - Winnipeg,Others,21,14,7,21,14,7,0,1949,5
England,British European Airways,Belfast - Manchester,Douglas,32,29,3,24,21,3,0,1949,5
Others,Transocean Air Lines,Rome - Shannon,Douglas,58,49,9,8,7,1,0,1949,5
EEUU,Others,New York City - Wilmington,Douglas,16,12,4,16,12,4,0,1949,5
Others,Military - Royal Air Force,Sin_Dato,Douglas,12,Sin_Dato,Sin_Dato,12,Sin_Dato,Sin_Dato,0,1949,5
Others,Others,Mers Nueva - Ambato,Bristol 170 Freighter 21,34,31,3,34,31,3,0,1949,5
Brazil,Others,Sin_Dato,Douglas,30,Sin_Dato,Sin_Dato,5,Sin_Dato,Sin_Dato,0,1949,5
Others,Others,Agartala - Calcutta,Douglas,7,6,1,7,6,1,0,1949,5
Brazil,Varig,Sao Paulo - Porto Alegre,Curtiss,36,30,6,5,4,1,0,1949,5
Others,Flota Aérea Mercante Argentina,Sin_Dato,Douglas,27,20,7,5,2,3,0,1949,5
Colombia,SAETA,Bogota - Ibague,Douglas,32,29,3,32,29,3,0,1949,5
EEUU,Slick Airways,Las Vegas - Denver,Curtiss,4,2,2,4,2,2,0,1949,5
Brazil,REAL,"Sao Palo, Brazil - Jacarezinho, Panama",Douglas,22,18,4,20,16,4,0,1949,5
EEUU,Others,Boston - Washington D.C. - New Orleans,Douglas,55,51,4,55,51,4,0,1949,5
Russia,Aeroflot,Krasnoyarsk - Irkutsk,Ilyushin,14,8,6,13,8,5,0,1949,5
France,Sabena,Sin_Dato,Douglas,8,4,4,8,4,4,0,1949,5
Mexico,Mexicana,Mexico City - Merida,Douglas,17,13,4,17,13,4,0,1949,5
Others,Others,Sin_Dato,Douglas,26,22,4,26,22,4,0,1949,5
EEUU,Capital Airlines,New Port News - Washington D.C.,Douglas,23,20,3,6,4,2,0,1949,5
China,Civil Air Transport,Chengdu - Hoikow,Curtiss,40,Sin_Dato,Sin_Dato,17,Sin_Dato,Sin_Dato,0,1949,5
Others,Air France,Paris - Santa Maria - New York City,Lockheed,48,37,11,48,37,11,0,1949,5
China,Civil Air Transport,Sin_Dato,Curtiss,38,36,2,38,36,2,0,1949,5
France,Air France,Paris - Lyons - Tunis,Douglas,38,33,5,5,1,4,0,1949,5
EEUU,American Airlines,New York City - Mexico City,Douglas,46,41,5,28,26,2,0,1949,5
Colombia,LANSA,Bucaramanga - Cucuta,Douglas,12,9,3,12,9,3,0,1949,5
Others,Others,Brussels - Oslo,Douglas,35,31,4,34,30,4,0,1949,5
India,Others,Sin_Dato,Others,2,0,2,1,0,1,14,1949,5
EEUU,Others,Philadelphia - Cleveland,Douglas,3,0,3,3,0,3,0,1949,5
EEUU,Others,Burbank - Oakland - Sacramento,Douglas,9,6,3,9,6,3,0,1949,5
EEUU,Others,Seattle - Chicago,Curtiss,32,28,4,2,2,0,4,1949,5
Others,Others,San Juan - Miami,Curtiss,81,75,6,53,52,1,0,1949,5
India,KLM Royal Dutch Airlines,Delhi - Bombay,Lockheed,45,34,11,45,34,11,0,1949,5
India,Indian Air Force,Training,Others,0,1,1,0,1,1,14,1949,5
EEUU,Others,Seattle - New Haven,Douglas,30,27,3,14,11,3,0,1949,5
Brazil,British South American Airways,Sin_Dato,Avro 685 York 1,17,11,6,3,3,0,0,1949,5
EEUU,Others,"Raleigh, NC - Boston, MA",Douglas,2,0,2,2,0,2,0,1949,5
Brazil,Others,Porto Alegre - Sao Borja,Lockheed,12,8,4,12,8,4,0,1949,5
Others,Pan African Air Charter,Sin_Dato,Douglas,30,Sin_Dato,Sin_Dato,30,Sin_Dato,Sin_Dato,0,1949,5
India,Others,Sin_Dato,Douglas,13,4,9,13,4,9,0,1949,5
Others,British South American Airways,Bermuda - Kingston,Others,20,13,7,20,13,7,0,1949,5
EEUU,Alaska Airlines,Homer - Anchorage,Douglas,6,3,3,5,3,2,0,1949,5
EEUU,Pan American World Airways,Sin_Dato,Lockheed,35,23,12,2,1,1,0,1949,5
Canada,Others,Trinity - Rimouski,Avro Anson,10,Sin_Dato,Sin_Dato,6,Sin_Dato,Sin_Dato,0,1949,5
Others,Skyways of London,Khartoum - Castel Benito,Douglas,53,44,9,1,0,1,0,1949,5
Colombia,AVIANCA,Sin_Dato,Consolidated PBY-5A Catalina,14,10,4,3,1,2,0,1949,5
Others,Scandinavian Airlines (SAS),Paris - Copenhagen,Vickers,27,23,4,27,23,4,0,1949,5
Others,Faucett,Tingo Maria - Huanuco,Douglas,16,13,3,16,13,3,0,1949,5
Others,Military - U.S. Air Force,RAF Scampton - Keflavik - Kansas,Boeing,20,16,4,20,16,4,0,1949,5
Others,Others,Cuzco - Lima,Douglas,26,22,4,22,20,2,0,1949,5
England,Others,London - Glasgow,Douglas,14,6,8,14,6,8,0,1949,5
Others,Others,Guildford - Darwin,Douglas,18,14,4,18,14,4,0,1949,5
Italy,KLM Royal Dutch Airlines,Batavia - Amsterdam,Lockheed,33,23,10,33,23,10,0,1949,5
Brazil,Military - Brazilian Air Force,Florianpolis - Porto Alegre,Douglas,27,21,6,27,21,6,0,1949,5
Others,Others,Kavallo - Athens,Douglas,22,18,4,22,18,4,0,1949,5
Russia,Aeroflot,Novosibirsk - Moscow,Ilyushin,25,20,5,25,20,5,0,1949,5
Others,Philippine Air Lines,Daet - Manila,Douglas,13,10,3,13,10,3,0,1949,5
EEUU,Others,Albuquerque - Burbank,Curtiss,48,44,4,35,32,3,0,1949,5
Italy,Avio Linee Italiane,Barcelona - Torino,Others,31,27,4,31,27,4,0,1949,5
Russia,Aeroflot,Yakutsk - Kirensk,Lisunov Li-2,24,18,6,14,11,3,0,1949,5
Others,New Zealand National Airways,Auckland - Wellington,Lockheed,15,13,2,15,13,2,0,1949,5
Germany,Skyways,Sin_Dato,Avro 685 York I,3,0,3,3,0,3,0,1949,5
Others,Queensland Airlines,Coolangatta - Brisbane,Lockheed,22,19,3,22,19,3,0,1949,5
Others,Cathay Pacific Airways,"Manila, Philippines - Hong Kong",Douglas,23,19,4,23,19,4,0,1949,5
England,Others,Test Flight,Others,7,0,7,7,0,7,0,1949,5
England,British European Airways,London - Glasgow,Douglas,29,24,5,28,24,4,0,1950,5
Others,Northwest Orient Airlines,Training,Martin 202,6,3,3,6,3,3,0,1950,5
Others,Air Atlas,Casablanca - Algiers - Perpignan,Douglas,7,4,3,4,1,3,0,1950,5
Others,Military - U.S. Air Force,Ashiya AB - Kimpo AB,Douglas,51,43,8,23,18,5,0,1950,5
Others,Others,Karlstad - Stockholm,Others,10,9,1,10,9,1,0,1950,5
Others,JAT Yugoslav Airlines,Belgrade - Zagreb,Douglas,11,7,4,10,6,4,0,1950,5
Others,Military - U.S. Navy,Kwajzalein - Tokyo,Douglas,26,19,7,26,19,7,0,1950,5
Others,Military - Royal Air Force,"Changi, Singapore - Kota Baru",Douglas,12,7,5,12,7,5,0,1950,5
EEUU,Others,Ithaca - Syracuse - Utica - Newark,Douglas,23,20,3,16,13,3,0,1950,5
Others,Trans World Airlines,Cairo - Rome,Lockheed,55,48,7,55,48,7,0,1950,5
EEUU,American Airlines,Los Angeles - Chicago,Douglas,59,54,5,1,1,0,0,1950,5
EEUU,Military - U.S. Air Force,Sin_Dato,Boeing,20,0,20,12,0,12,7,1950,5
Russia,Aeroflot,Alma-Ata - Karaganda - Moscow,Ilyushin,25,19,6,25,19,6,0,1950,5
Brazil,Others,Porto Alegre - Sao Borja,Lockheed,12,10,2,12,10,2,0,1950,5
Others,Iran Air,Sin_Dato,Douglas,8,5,3,8,5,3,0,1950,5
England,British European Airways,Paris - London,Vickers,30,26,4,28,24,4,0,1950,5
Canada,Canadian Pacific Air Lines,Vancouver - Penticton,Douglas,18,15,3,2,0,2,0,1950,5
EEUU,Northwest Orient Airlines,Helena - Butte,Martin 202,21,17,4,21,17,4,0,1950,5
Others,Aerolineas Argentinas,Mar del Plata - Buenos,Douglas,18,13,5,17,12,5,0,1950,5
Brazil,Panair do Brasil,Rio de Janeiro - Porte Algegre,Lockheed,50,43,7,50,43,7,0,1950,5
Philippines,Military - U.S. Air Force,Naha AB - Clark AB,Douglas,38,31,7,38,31,7,0,1950,5
Others,Avensa,Merida - Caracas,Douglas,31,28,3,31,28,3,0,1950,5
Brazil,VASP,Ribeirao Preto - Sao Paulo,Douglas,20,16,4,1,1,0,1,1950,5
Brazil,VASP,Ribeirao Preto - Sao Paulo,Douglas,31,25,6,0,0,0,3,1950,5
India,Air India,Bombay - Coimbatore,Douglas,21,17,4,21,17,4,0,1950,5
France,Air Atlas,Casablanca - Perpignan,Douglas,7,4,3,5,2,3,0,1950,5
Others,Others,Paris - Bangui - Dar es-Salaam,Douglas,56,50,6,46,43,3,0,1950,5
Others,Iran Air,Tehran - Qom,Douglas,8,7,1,8,7,1,0,1950,5
Others,Indamer,Sin_Dato,Douglas,3,0,3,3,0,3,0,1950,5
Others,Faucett,Maldorado - Quincemil,Douglas,9,5,4,9,5,4,0,1950,5
EEUU,New Tribes Mission,"Chico, CA - Billings, WY",Douglas,21,18,3,21,18,3,0,1950,5
Indonesia,Garuda Indonesia Airlines,Sin_Dato,Douglas,23,20,3,2,0,2,0,1950,5
France,Others,Rome - Paris,Douglas,58,51,7,58,51,7,0,1950,5
France,Air India,Bombay - Cairo - Geneva - London,Lockheed,48,40,8,48,40,8,0,1950,5
Others,Military - U.S. Air Force,Tokyo - Kagoshima - Okinawa,Douglas,26,23,3,25,22,3,0,1950,5
Others,Others,Algiers - Aoulef - Bidon V - Gao,Bristol 170 Freighter 21,26,22,4,26,22,4,0,1950,5
Others,DTA Angola Airlines,Nova Lisboa - Lobito,Douglas,9,6,3,9,6,3,0,1950,5
India,Deccan Airways,Sin_Dato,Douglas,3,0,3,3,0,3,0,1950,5
France,Others,Test flight,Others,12,0,12,12,0,12,0,1950,5
Others,Others,Istanbul - Ankara,Douglas,15,11,4,15,11,4,0,1950,5
Others,Others,Llandow - Dublin,Others,83,78,5,80,75,5,0,1950,5
Others,Others,Hue - Tourane,Bristol 170 Freighter 21,4,1,3,4,1,3,0,1950,5
Others,Ceskoslovenske Aerolinie,Ostrava - Prague,Douglas,30,27,3,5,2,3,0,1950,5
England,British European Airways,London - Paris,Vickers,32,28,4,0,0,0,0,1950,5
Others,KLM Royal Dutch Airlines,Amsterdam - London,Douglas,7,0,7,7,0,7,0,1950,5
Philippines,Philippine Air Lines,Iloilo - Manila,Douglas,4,1,3,4,1,3,0,1950,5
Others,Others,Antananarivo - Tamatave,Douglas,14,11,3,14,11,3,0,1950,5
Others,Military - Bolivian Air Force,Valle grande - Cochabamba,Douglas,32,28,4,32,28,4,1,1950,5
Others,Others,Murcia-San Javier - Albacete,Others,16,13,3,16,13,3,0,1950,5
Russia,Military - Soviet Air Force,Sin_Dato,Lisunov Li-2,19,Sin_Dato,Sin_Dato,19,Sin_Dato,Sin_Dato,0,1950,5
EEUU,Military - U.S. Air Force,Myrtle Beach - Nashville,Curtiss,39,35,4,39,35,4,0,1950,5
Others,Military - U.S. Air Force,Elmendorf - Great Falls,Douglas,44,36,8,44,36,8,0,1950,5
Colombia,Lineas Aéreas Nacionales,Medellín - Barranquilla,Douglas,4,0,2,2,0,2,0,1950,5
Others,Northwest Orient Airlines,Rochester Minn. - Minneapolis,Martin 202,13,10,3,13,10,3,2,1950,5
Others,AVIANCA,Bogota - Quito - Guayaquil,Douglas,15,12,3,15,12,3,0,1950,5
India,Indian National Airlines,Delhi - Sringagar,Douglas,22,18,4,22,18,4,0,1950,5
Others,Military - U.S. Air Force,Clark - Kadena - Tachikawa,Douglas,35,27,8,35,27,8,0,1950,5
Others,Aigle Azur,Paris - Bordeaux - Casablanca - Dakar,Douglas,29,25,4,22,18,4,0,1950,5
Others,Military - U.S. Air Force,Sin_Dato,Douglas,23,18,5,23,18,5,0,1950,5
Others,Ansett ANA,Perth  Adelaide  Melbourne e,Douglas,29,24,5,29,24,5,0,1950,5
EEUU,Northwest Orient Airlines,New York City - Minneapolis - Spokan -Seattle,Douglas,58,55,3,58,55,3,0,1950,5
Others,Air France,Saigon - Karachi - Bahrain - Paris,Douglas,53,45,8,40,37,3,0,1950,5
Others,Air France,Saigon - Paris,Douglas,52,44,8,46,40,6,0,1950,5
Others,Air France,Saigon - Karachi - Bahrain - Paris,Douglas,53,45,8,40,37,3,Sin_Dato,1950,5
EEUU,Others,San Juan - Wilmington NC,Curtiss,65,62,3,28,28,0,0,1950,5
Brazil,Aerovias Brasil,Victoria - Salvador,Douglas,15,11,4,13,9,4,0,1950,5
EEUU,Regina Cargo Airlines,Teterboro - Fort Wayne - Detroit,Curtiss,2,0,2,1,0,1,0,1950,5
Colombia,LANSA,Popayan - Ipiales,Douglas,27,24,3,26,23,3,0,1950,5
EEUU,Military - U.S. Air Force,Sin_Dato,Curtiss,39,35,4,39,35,4,0,1950,5
Others,Military - U.S. Air Force,Barksdale - Lajes,Boeing,16,5,11,16,5,11,0,1950,5
Colombia,New Tribes Mission,"Kingston, Jamacia - Maracaibo, Venezuela",Douglas,15,12,3,15,12,3,0,1950,5
Others,Military - U.S. Air Force,Azores - Westover AFB,Boeing,12,9,3,12,9,3,0,1951,5
India,Air India,Bangalore - Trivandrum,Douglas,28,24,4,22,21,1,0,1951,5
Others,South African Airways,Port Elizabeth - Durbin,Douglas,17,13,4,17,13,4,0,1951,5
Mexico,Others,Mexico City - Minatitlán - Villahermosa,Douglas,8,5,3,8,5,3,0,1951,5
Others,Others,Sin_Dato,Curtiss,27,24,3,27,24,3,0,1951,5
Others,Military - US Air Force,Ashiya - Tachikawa AB,Others,14,0,14,14,0,14,0,1951,5
EEUU,United Air Lines,San Francisco - Oakland - San Francisco,Boeing,3,0,3,3,0,3,0,1951,5
Others,Sabena,Brussels - Gao - Léopoldville,Douglas,3,0,3,3,0,3,0,1951,5
Brazil,VASP,Sao Paulo - Rio de Janeiro,Douglas,13,9,4,13,9,4,3,1951,5
EEUU,United Air Lines,Boston - Hartford - Cleveland - Chicago - Oakland,Douglas,50,44,6,50,44,6,0,1951,5
Brazil,REAL,Sin_Dato,Douglas,10,Sin_Dato,Sin_Dato,10,Sin_Dato,Sin_Dato,0,1951,5
France,Air France,Training,Douglas,5,0,5,5,0,5,0,1951,5
Others,Trans Australia Airlines,Hobart Melbourne,Sin_Dato,2,0,2,2,0,2,0,1951,5
Others,Loide Aéreo Nacional,Cochabamba - Rio de Janeiro,Curtiss,7,4,3,7,4,3,0,1951,5
